gameId:19  gameName:American Champion
name:p00 bingo:"1111111111111111111111111" num:21
name:P01 4Lines:"1111111111111111111100000" num:20
name:P02 4Lines:"1111111111111110000011111" num:20
name:P03 4Lines:"1111111111000001111111111" num:20
name:P04 4Lines:"1111100000111111111111111" num:20
name:P05 4Lines:"0000011111111111111111111" num:20
name:P06 Perimeter:"1111110001100011000111111" num:16
name:P07 3Lines:"0000000000111111111111111" num:15
name:P08 3Lines:"0000011111000001111111111" num:15
name:P09 3Lines:"0000011111111110000011111" num:15
name:P10 3Lines:"0000011111111111111100000" num:15
name:P11 3Lines:"1111100000000001111111111" num:15
name:P12 3Lines:"1111100000111110000011111" num:15
name:P13 3Lines:"1111100000111111111100000" num:15 
name:P14 3Lines:"1111111111000000000011111" num:15
name:P15 3Lines:"1111111111000001111100000" num:15
name:P16 3Lines:"1111111111111110000000000" num:15
name:P17 X:"1000101010001000101010001" num:9
name:P18 T:"1111100100001000010000100" num:9
name:P19 2Lines:"1111111111000000000000000" num:10
name:P20 2Lines:"1111100000111110000000000" num:10
name:P21 2Lines:"1111100000000001111100000" num:10
name:P22 2Lines:"1111100000000000000011111" num:10
name:P23 2Lines:"0000011111111110000000000" num:10
name:P24 2Lines:"0000011111000001111100000" num:10
name:P25 2Lines:"0000011111000000000011111" num:10
name:P26 2Lines:"0000000000111111111100000" num:10
name:P27 2Lines:"0000000000111110000011111" num:10
name:P28 2Lines:"0000000000000001111111111" num:10
name:P29 4corners:"1000100000000000000010001" num:4
name:P30 Diagonal:"0000100010001000100010000" num:5
name:P31 Diagonal:"1000001000001000001000001" num:5
name:P32 4Lines+X:"1111111111111111111110001" num:22
name:P33 4Lines+X:"1111111111111110101011111" num:22
name:P34 4Lines+X:"1111111111001001111111111" num:22
name:P35 4Lines+X:"1111101010111111111111111" num:22
name:P36 4Lines+X:"1000111111111111111111111" num:22
name:P37 4Lines+T:"1111111111111111111100100" num:21
name:P38 4Lines+T:"1111111111111110010011111" num:21
name:P39 4Lines+T:"1111111111001001111111111" num:21
name:P40 4Lines+T:"1111100100111111111111111" num:21
name:P41 4Lines+X+T:"1111111111111111111110101" num:23
name:P42 4Lines+X+T:"1111111111111110111011111" num:23
name:P43 4Lines+X+T:"1111101110111111111111111" num:23
name:P44 4Lines+X+T:"1111101110111111111111111" num:23
name:P45 4Lines+Diagonal:"1111111111111111111100001" num:21
name:P46 4Lines+Diagonal:"1111111111111110001011111" num:21
name:P47 4Lines+Diagonal:"1111101000111111111111111" num:21
name:P48 4Lines+Diagonal:"1000011111111111111111111" num:21
name:P49 4Lines+Diagonal:"1111111111111111111110000" num:21
name:P50 4Lines+Diagonal:"1111111111111110100011111" num:21
name:P51 4Lines+Diagonal:"1111100010111111111111111" num:21
name:P52 4Lines+Diagonal:"0000111111111111111111111" num:21
name:P53 4Lines+Diagonal+T:"1111111111111111111100101" num:22
name:P54 4Lines+Diagonal+T:"1111111111111110011011111" num:22
name:P55 4Lines+Diagonal+T:"1111101100111111111111111" num:22
name:P56 4Lines+Diagonal+T:"1111111111111111111110100" num:22
name:P57 4Lines+Diagonal+T:"1111111111111110110011111" num:22
name:P58 4Lines+Diagonal+T:"1111100110111111111111111" num:22
name:P59 Perimeter+3Lines:"1111111111100011000111111" num:19
name:P60 Perimeter+3Lines:"1111110001111111000111111" num:19
name:P61 Perimeter+3Lines:"1111110001100011111111111" num:19
name:P62 Perimeter+3Lines:"1111111111100011111111111" num:22
