], Pattern [name=letter_H+letter_N+letter_K+two_line, alias=P416, format=1001011111110101011011111, value=308, r=0, weight=0.0, is_eb=false, formatCode=19917535, sunNum=18
], Pattern [name=letter_P+letter_A+letter_H+two_line, alias=P417, format=1111010010110111111110010, value=308, r=0, weight=0.0, is_eb=false, formatCode=32075762, sunNum=17
], Pattern [name=letter_P+letter_C+letter_I+two_line, alias=P418, format=1111111010110111100011110, value=308, r=0, weight=0.0, is_eb=false, formatCode=33386270, sunNum=18
], Pattern [name=letter_P+letter_C+letter_I+two_line, alias=P419, format=1111011111110111100011110, value=308, r=0, weight=0.0, is_eb=false, formatCode=32501534, sunNum=19
], Pattern [name=letter_P+letter_C+letter_I+two_line, alias=P420, format=1111011010110111100011111, value=308, r=0, weight=0.0, is_eb=false, formatCode=32337695, sunNum=18
], Pattern [name=letter_P+letter_A+letter_H+two_line, alias=P421, format=1111110010110111001010010, value=308, r=0, weight=0.0, is_eb=false, formatCode=33123922, sunNum=15
], Pattern [name=letter_P+letter_A+letter_H+two_line, alias=P422, format=1111011111110111001010010, value=308, r=0, weight=0.0, is_eb=false, formatCode=32501330, sunNum=17
], Pattern [name=letter_H+letter_N+letter_K+two_line, alias=P423, format=1001011110110111011011111, value=308, r=0, weight=0.0, is_eb=false, formatCode=19885791, sunNum=18
], Pattern [name=letter_H+letter_N+letter_K+two_line, alias=P424, format=1001011111110111011010010, value=308, r=0, weight=0.0, is_eb=false, formatCode=19918546, sunNum=16
], Pattern [name=letter_P+letter_A+letter_H+four_corners, alias=P425, format=1111110010110101001010011, value=302, r=0, weight=0.0, is_eb=false, formatCode=33122899, sunNum=15
], Pattern [name=letter_H+letter_N+letter_K+four_corners, alias=P426, format=1001111110110101011010011, value=302, r=0, weight=0.0, is_eb=false, formatCode=20933331, sunNum=16
], Pattern [name=letter_P+letter_I+three_line+chess+two_line+two_line+two_line+four_corners, alias=P427, format=1111111010110111111111101, value=301, r=0, weight=0.0, is_eb=false, formatCode=33386493, sunNum=21
], Pattern [name=letter_C+letter_I+three_line+chess+two_line+two_line+two_line+four_corners, alias=P428, format=1111111010110011111111111, value=301, r=0, weight=0.0, is_eb=false, formatCode=33384447, sunNum=21
], Pattern [name=letter_H+letter_N+three_line+chess+two_line+two_line+two_line+four_corners, alias=P429, format=1011111010110111111111111, value=301, r=0, weight=0.0, is_eb=false, formatCode=24997887, sunNum=21
], Pattern [name=letter_C+letter_I+three_line+chess+two_line+two_line+two_line+four_corners, alias=P430, format=1111111111110011101011111, value=301, r=0, weight=0.0, is_eb=false, formatCode=33548127, sunNum=21
], Pattern [name=letter_P+letter_I+three_line+chess+two_line+two_line+two_line+four_corners, alias=P431, format=1111111111110111101011101, value=301, r=0, weight=0.0, is_eb=false, formatCode=33550173, sunNum=21
], Pattern [name=letter_C+letter_I+letter_K, alias=P432, format=1111011100110001110011110, value=300, r=0, weight=0.0, is_eb=false, formatCode=32400286, sunNum=16
], Pattern [name=letter_P+letter_C+letter_I, alias=P433, format=1111011010110101100011110, value=300, r=0, weight=0.0, is_eb=false, formatCode=32336670, sunNum=16
], Pattern [name=letter_P+letter_C+letter_K, alias=P434, format=1111010110110101010011110, value=300, r=0, weight=0.0, is_eb=false, formatCode=32205470, sunNum=16
], Pattern [name=letter_H+letter_N+letter_K, alias=P435, format=1001011110110101011010010, value=300, r=0, weight=0.0, is_eb=false, formatCode=19884754, sunNum=14
], Pattern [name=letter_P+letter_I+three_line+square+cross+two_line+two_line+two_line, alias=P436, format=1111111110110111111111100, value=294, r=0, weight=0.0, is_eb=false, formatCode=33517564, sunNum=21
], Pattern [name=letter_P+letter_I+three_line+square+cross+two_line+two_line+two_line, alias=P437, format=1111011111110111111111100, value=294, r=0, weight=0.0, is_eb=false, formatCode=32501756, sunNum=21
], Pattern [name=letter_P+letter_I+three_line+square+cross+two_line+two_line+two_line, alias=P438, format=1111111111110111111011100, value=294, r=0, weight=0.0, is_eb=false, formatCode=33550300, sunNum=21
], Pattern [name=letter_P+letter_I+three_line+square+two_line+two_line+two_line+four_corners, alias=P439, format=1111111111110101111111101, value=286, r=0, weight=0.0, is_eb=false, formatCode=33549309, sunNum=22
], Pattern [name=letter_P+letter_I+three_line+cross+two_line+two_line+two_line+four_corners, alias=P440, format=1111111111110111110011101, value=286, r=0, weight=0.0, is_eb=false, formatCode=33550237, sunNum=21
], Pattern [name=letter_H+letter_K+three_line+cross+two_line+two_line+two_line+four_corners, alias=P441, format=1011110110110111111111111, value=286, r=0, weight=0.0, is_eb=false, formatCode=24866815, sunNum=21
], Pattern [name=letter_C+letter_K+three_line+cross+two_line+two_line+two_line+four_corners, alias=P442, format=1111110100110111010011111, value=286, r=0, weight=0.0, is_eb=false, formatCode=33189535, sunNum=18
], Pattern [name=letter_P+letter_K+three_line+cross+two_line+two_line+two_line+four_corners, alias=P443, format=1111111111110111010010111, value=286, r=0, weight=0.0, is_eb=false, formatCode=33549975, sunNum=20
], Pattern [name=letter_P+letter_I+three_line+square+two_line+two_line+two_line, alias=P444, format=1111111111110101111111100, value=284, r=0, weight=0.0, is_eb=false, formatCode=33549308, sunNum=21
], Pattern [name=letter_C+letter_K+three_line+cross+two_line+two_line+two_line, alias=P445, format=1111110100110111111111110, value=284, r=0, weight=0.0, is_eb=false, formatCode=33189886, sunNum=20
], Pattern [name=letter_C+letter_K+three_line+cross+two_line+two_line+two_line, alias=P446, format=1111010100110111111111111, value=284, r=0, weight=0.0, is_eb=false, formatCode=32141311, sunNum=20
], Pattern [name=letter_P+letter_I+three_line+cross+two_line+two_line+two_line, alias=P447, format=1111111111110111110011100, value=284, r=0, weight=0.0, is_eb=false, formatCode=33550236, sunNum=20
], Pattern [name=letter_H+letter_K+three_line+cross+two_line+two_line+two_line, alias=P448, format=1011010110110111111111111, value=284, r=0, weight=0.0, is_eb=false, formatCode=23818239, sunNum=20
], Pattern [name=letter_P+letter_K+three_line+cross+two_line+two_line+two_line, alias=P449, format=1111111111110111010010110, value=284, r=0, weight=0.0, is_eb=false, formatCode=33549974, sunNum=19
], Pattern [name=letter_C+letter_I+three_line+two_line+two_line+two_line+four_corners, alias=P450, format=1111111000110001111111111, value=276, r=0, weight=0.0, is_eb=false, formatCode=33317887, sunNum=19
], Pattern [name=letter_C+letter_K+three_line+two_line+two_line+two_line+four_corners, alias=P451, format=1111110100110001111111111, value=276, r=0, weight=0.0, is_eb=false, formatCode=33186815, sunNum=19
], Pattern [name=letter_C+letter_I+three_line+two_line+two_line+two_line+four_corners, alias=P452, format=1111111111110001100011111, value=276, r=0, weight=0.0, is_eb=false, formatCode=33547039, sunNum=19
], Pattern [name=letter_C+letter_K+three_line+two_line+two_line+two_line+four_corners, alias=P453, format=1111111111110001010011111, value=276, r=0, weight=0.0, is_eb=false, formatCode=33546911, sunNum=19
], Pattern [name=letter_P+letter_C+three_line+two_line+two_line+two_line+four_corners, alias=P454, format=1111111111110101000011111, value=276, r=0, weight=0.0, is_eb=false, formatCode=33548831, sunNum=19
], Pattern [name=letter_H+letter_N+three_line+two_line+two_line+two_line+four_corners, alias=P455, format=1001111010110111111111111, value=276, r=0, weight=0.0, is_eb=false, formatCode=20803583, sunNum=20
], Pattern [name=letter_H+letter_K+three_line+two_line+two_line+two_line+four_corners, alias=P456, format=1001110110110111111111111, value=276, r=0, weight=0.0, is_eb=false, formatCode=20672511, sunNum=20
], Pattern [name=letter_P+letter_I+three_line+two_line+two_line+two_line+four_corners, alias=P457, format=1111111111110111100011101, value=276, r=0, weight=0.0, is_eb=false, formatCode=33550109, sunNum=20
], Pattern [name=letter_C+letter_I+three_line+two_line+two_line+two_line+four_corners, alias=P458, format=1111111000110111100011111, value=276, r=0, weight=0.0, is_eb=false, formatCode=33320735, sunNum=18
], Pattern [name=letter_P+letter_K+three_line+two_line+two_line+two_line+four_corners, alias=P459, format=1111111111110111010010011, value=276, r=0, weight=0.0, is_eb=false, formatCode=33549971, sunNum=19
], Pattern [name=letter_P+letter_C+three_line+two_line+two_line+two_line+four_corners, alias=P460, format=1111110010110111000011111, value=276, r=0, weight=0.0, is_eb=false, formatCode=33123871, sunNum=17
