JsonRootBean [machineId=24, machineName=Bingo3, cardWidth=5, cardHeight=5, availableBalls=96, maxPrizeValue=2500, pattern=
[Pattern [name=bingo, alias=P0, format=1111111011100011101111111, value=2500, r=1, weight=0.0, is_eb=true, formatCode=33408895, sunNum=20
], Pattern [name=four_line+four_line+four_line+four_line, alias=P1, format=1111111111110111111111111, value=2000, r=0, weight=0.0, is_eb=false, formatCode=33550335, sunNum=24
], Pattern [name=four_line+perimeter+three_line+three_line, alias=P2, format=1111111111100011111111111, value=850, r=0, weight=0.0, is_eb=false, formatCode=33540095, sunNum=22
], Pattern [name=four_line+perimeter+three_line+three_line, alias=P3, format=1111110001110111111111111, value=850, r=0, weight=0.0, is_eb=false, formatCode=33091583, sunNum=21
], Pattern [name=four_line+perimeter+three_line+three_line, alias=P4, format=1111111111110111000111111, value=850, r=0, weight=0.0, is_eb=false, formatCode=33549887, sunNum=21
], Pattern [name=four_line+perimeter+three_line+X, alias=P5, format=1111111011110111111111111, value=811, r=0, weight=0.0, is_eb=false, formatCode=33419263, sunNum=23
], Pattern [name=four_line+perimeter+three_line+T, alias=P6, format=1111110101110111111111111, value=811, r=0, weight=0.0, is_eb=false, formatCode=33222655, sunNum=22
], Pattern [name=four_line+perimeter+three_line+X, alias=P7, format=1111111111110111101111111, value=811, r=0, weight=0.0, is_eb=false, formatCode=33550207, sunNum=23
], Pattern [name=four_line+perimeter+three_line+T, alias=P8, format=1111111111110111010111111, value=811, r=0, weight=0.0, is_eb=false, formatCode=33550015, sunNum=22
], Pattern [name=four_line+perimeter+three_line+diagonal, alias=P9, format=1111111001110111111111111, value=801, r=0, weight=0.0, is_eb=false, formatCode=33353727, sunNum=22
], Pattern [name=four_line+perimeter+three_line+diagonal, alias=P10, format=1111110011110111111111111, value=801, r=0, weight=0.0, is_eb=false, formatCode=33157119, sunNum=22
], Pattern [name=four_line+perimeter+three_line+diagonal, alias=P11, format=1111111111110111100111111, value=801, r=0, weight=0.0, is_eb=false, formatCode=33550143, sunNum=22
], Pattern [name=four_line+perimeter+three_line+diagonal, alias=P12, format=1111111111110111001111111, value=801, r=0, weight=0.0, is_eb=false, formatCode=33549951, sunNum=22
], Pattern [name=four_line+perimeter+T+diagonal, alias=P13, format=1111111101110111111111111, value=762, r=0, weight=0.0, is_eb=false, formatCode=33484799, sunNum=23
], Pattern [name=four_line+perimeter+T+diagonal, alias=P14, format=1111110111110111111111111, value=762, r=0, weight=0.0, is_eb=false, formatCode=33288191, sunNum=23
], Pattern [name=four_line+perimeter+T+diagonal, alias=P15, format=1111111111110111110111111, value=762, r=0, weight=0.0, is_eb=false, formatCode=33550271, sunNum=23
], Pattern [name=four_line+perimeter+T+diagonal, alias=P16, format=1111111111110111011111111, value=762, r=0, weight=0.0, is_eb=false, formatCode=33550079, sunNum=23
], Pattern [name=four_line+three_line+three_line+X, alias=P17, format=1111101010110111111111111, value=611, r=0, weight=0.0, is_eb=false, formatCode=32862207, sunNum=21
], Pattern [name=four_line+three_line+three_line+T, alias=P18, format=1111100100110111111111111, value=611, r=0, weight=0.0, is_eb=false, formatCode=32665599, sunNum=20
], Pattern [name=four_line+three_line+three_line+X, alias=P19, format=1111111111110111111110001, value=611, r=0, weight=0.0, is_eb=false, formatCode=33550321, sunNum=21
], Pattern [name=four_line+three_line+three_line+T, alias=P20, format=1111111111110111111100100, value=611, r=0, weight=0.0, is_eb=false, formatCode=33550308, sunNum=20
], Pattern [name=four_line+three_line+three_line+X, alias=P21, format=1111111111110110101011111, value=611, r=0, weight=0.0, is_eb=false, formatCode=33549663, sunNum=21
